City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
benghazi,LY,81.77,69,0,10.51,32.1167,20.0667,1658860343
te anau,NZ,41.88,98,100,3.11,-45.4167,167.7167,1658860343
dikson,RU,46.58,87,100,27.81,73.5069,80.5464,1658860343
ilulissat,GL,48.22,87,75,6.91,69.2167,-51.1,1658860344
knysna,ZA,59.76,55,94,5.93,-34.0363,23.0471,1658860344
severo-kurilsk,RU,51.53,87,88,4.56,50.6789,156.125,1658860345
touros,BR,79.83,69,93,15.73,-5.1989,-35.4608,1658860345
klaksvik,FO,52.72,75,91,9.55,62.2266,-6.589,1658860345
varhaug,NO,53.47,80,66,28.88,58.6147,5.6457,1658860275
wau,SS,71.74,96,79,5.01,7.7029,27.9953,1658860346
lunglei,IN,66.36,98,15,2.13,22.8833,92.7333,1658860346
thompson,CA,64.56,72,75,2.3,55.7435,-97.8558,1658860347
saskylakh,RU,64.6,89,42,3.85,71.9167,114.0833,1658860347
pangkalanbuun,ID,74.05,96,98,1.32,-2.6833,111.6167,1658860347
zhezkazgan,KZ,78.78,38,0,10.92,47.8043,67.7144,1658860348
waingapu,ID,71.47,80,84,7.72,-9.6567,120.2641,1658860348
chimbote,PE,66.43,74,43,11.74,-9.0853,-78.5783,1658860349
constitucion,CL,55.85,82,100,10.98,-35.3333,-72.4167,1658860349
nikel,RU,62.78,94,100,5.95,69.4128,30.222,1658860349
cibeureum,ID,66.27,96,93,1.88,-7.3552,108.2693,1658860350
kuybyshevo,RU,64.76,85,31,4.83,47.8123,38.9073,1658860350
fayetteville,US,95.88,53,40,17.27,35.0527,-78.8784,1658859903
belyy yar,RU,54.86,100,0,4.47,53.6039,91.3903,1658860351
glenwood springs,US,86.4,43,0,0.0,39.5505,-107.3248,1658860238
shitanjing,CN,70.68,46,100,12.12,39.2342,106.3439,1658860351
teguldet,RU,52.45,93,100,3.6,57.3064,88.1667,1658860351
cidreira,BR,64.15,86,13,12.26,-30.1811,-50.2056,1658860352
kamenka,RU,65.41,85,7,4.88,51.3223,42.7678,1658860352
tuktoyaktuk,CA,59.0,82,100,19.57,69.4541,-133.0374,1658860352
lac du bonnet,CA,74.19,44,13,10.94,50.2536,-96.0612,1658860353
riviere-au-renard,CA,79.09,62,92,7.7,48.9957,-64.3971,1658860353
rochester,US,79.61,57,75,11.5,43.1548,-77.6156,1658859870
bethel,US,83.35,49,20,5.75,41.3712,-73.414,1658860354
castro,BR,72.91,44,0,4.32,-24.7911,-50.0119,1658860312
kavieng,PG,82.27,70,100,12.48,-2.5744,150.7967,1658860354
mount isa,AU,55.17,41,0,12.66,-20.7333,139.5,1658860355
ambilobe,MG,68.94,81,100,2.98,-13.2,49.05,1658860355
ryotsu,JP,75.43,86,4,2.33,38.0833,138.4333,1658860356
kirishi,RU,65.23,80,97,4.94,59.4471,32.0205,1658860356
micheweni,TZ,75.36,80,100,15.21,-4.9667,39.8333,1658860356
ippy,CF,70.77,94,100,0.72,6.2679,21.2247,1658860357
nioro,GM,81.43,79,100,6.22,13.35,-15.75,1658860357
moose factory,CA,64.4,77,40,9.22,51.2585,-80.6094,1658860357
champerico,GT,88.34,70,44,6.69,14.3,-91.9167,1658860358
maltahohe,NA,54.68,18,0,9.04,-24.8333,16.9833,1658860358
gonen,TR,78.76,63,0,4.07,40.1049,27.654,1658860359
ponta do sol,PT,87.71,62,4,6.08,32.6667,-17.1,1658860359
kaitangata,NZ,45.37,95,100,13.94,-46.2817,169.8464,1658860360
saldanha,ZA,55.45,87,11,4.27,-33.0117,17.9442,1658860360
creel,MX,69.04,51,100,5.01,27.75,-107.6333,1658860360
norman wells,CA,73.44,46,75,9.22,65.282,-126.8329,1658860361
rocha,UY,66.79,86,99,6.4,-34.4833,-54.3333,1658860361
prado,BR,75.11,69,3,8.37,-17.3411,-39.2208,1658860361
kendari,ID,73.94,94,97,2.75,-3.945,122.4989,1658860362
aswan,EG,101.5,7,0,8.05,24.0934,32.907,1658860362
cape girardeau,US,86.81,73,100,1.99,37.3834,-89.7168,1658860102
chernyshevskiy,RU,66.09,92,0,3.31,63.0128,112.4714,1658860363
haines junction,CA,64.35,55,45,14.97,60.7522,-137.5108,1658860363
zhigansk,RU,62.11,68,70,2.62,66.7697,123.3711,1658860364
lebu,CL,54.1,78,3,17.98,-37.6167,-73.65,1658860364
codrington,AU,49.98,94,36,9.15,-38.2667,141.9667,1658860364
mae hong son,TH,74.34,91,100,1.07,19.3003,97.9685,1658860365
havre,FR,69.21,72,40,9.22,49.5833,0.3333,1658860365
brewster,US,84.2,49,20,5.75,41.3973,-73.6171,1658860365
shache,CN,87.49,18,61,6.8,38.4167,77.2406,1658860366
camacha,PT,71.02,78,40,17.27,33.0833,-16.3333,1658860366
braniewo,PL,63.55,83,100,11.81,54.3797,19.8196,1658860367
katsuura,JP,79.16,90,97,13.47,35.1333,140.3,1658860348
marzuq,YE,83.59,49,100,5.14,14.4,46.4667,1658860367
arumbavur,IN,83.26,66,100,1.39,11.3833,78.7333,1658860367
erdenet,MN,49.28,92,100,4.12,49.0333,104.0833,1658860368
vangaindrano,MG,68.2,83,90,3.49,-23.35,47.6,1658860368
mwaya,TZ,67.87,79,3,1.16,-9.55,33.95,1658860370
plastun,RU,63.88,98,38,4.99,44.7561,136.2939,1658860370
sola,VU,75.87,100,20,0.0,-13.8833,167.55,1658860371
waipawa,NZ,48.61,97,100,9.42,-41.4122,175.5153,1658860371
homer,US,53.49,73,0,14.0,59.6425,-151.5483,1658860371
chokurdakh,RU,43.81,67,98,11.3,70.6333,147.9167,1658860372
sur,OM,81.79,79,37,17.22,22.5667,59.5289,1658860372
mabaruma,GY,78.8,89,40,4.61,8.2,-59.7833,1658860372
mangai,CD,80.74,29,26,0.87,-4.05,19.5333,1658860373
polson,US,82.72,50,16,1.14,47.6936,-114.1632,1658860373
torbay,CA,77.77,76,75,18.41,47.6666,-52.7314,1658860258
gemena,CD,70.97,96,100,2.24,3.25,19.7667,1658860374
totness,SR,83.48,71,14,7.27,5.8833,-56.3167,1658860374
cocula,MX,78.17,64,100,1.79,20.3652,-103.8222,1658860374
taitung,TW,80.47,81,0,3.42,22.7583,121.1444,1658860375
balabac,PH,80.37,79,100,6.42,7.9868,117.0645,1658860375
barstow,US,95.16,22,29,2.24,34.8986,-117.0228,1658860245
kodiak,US,54.91,58,0,5.75,57.79,-152.4072,1658860376
ostrovnoy,RU,60.85,71,100,18.97,68.0531,39.5131,1658860376
hamilton,US,76.24,90,100,4.61,39.1834,-84.5333,1658860354
hilo,US,80.28,94,75,1.99,19.7297,-155.09,1658860129
druzhba,UA,63.46,86,0,6.6,52.0428,33.9453,1658860377
dingle,PH,76.48,92,56,3.98,10.9995,122.6711,1658860271
fukue,JP,78.37,76,0,4.38,32.6881,128.8419,1658860377
charters towers,AU,57.92,85,0,5.35,-20.1,146.2667,1658860341
namibe,AO,63.7,80,62,2.44,-15.1961,12.1522,1658860378
hithadhoo,MV,81.19,76,100,12.12,-0.6,73.0833,1658860378
lagoa,PT,74.16,86,11,12.46,39.05,-27.9833,1658860378
hay river,CA,69.78,56,40,11.5,60.8156,-115.7999,1658860379
san policarpo,PH,78.46,87,100,4.81,12.1791,125.5072,1658860379
irbeyskoye,RU,50.18,96,8,5.32,55.6428,95.4522,1658860380
vardo,NO,57.18,94,75,6.91,70.3705,31.1107,1658860380
provideniya,RU,44.82,66,68,4.92,64.3833,-173.3,1658860380
nurota,UZ,87.51,22,4,8.61,40.5614,65.6886,1658860381
cranbrook,CA,78.64,36,20,5.75,49.4999,-115.7688,1658860381
bataipora,BR,89.67,22,0,3.89,-22.2953,-53.2711,1658860382
taltal,CL,62.22,72,40,5.19,-25.4,-70.4833,1658860382
riyadh,SA,98.74,12,51,7.65,24.6877,46.7219,1658860110
ancud,CL,53.22,84,83,8.72,-41.8697,-73.8203,1658860382
asau,RO,78.28,54,0,2.33,46.4333,26.4,1658860383
puerto del rosario,ES,83.95,61,0,6.91,28.5004,-13.8627,1658860383
jacareacanga,BR,98.91,22,100,3.74,-6.2222,-57.7528,1658860384
samarai,PG,78.49,85,28,10.27,-10.6167,150.6667,1658860384
rongcheng,CN,77.07,97,65,2.53,30.634,117.8517,1658860384
inhambane,MZ,60.78,82,0,0.0,-23.865,35.3833,1658860385
saint-pierre,RE,67.91,74,0,5.75,-21.3393,55.4781,1658860385
mancio lima,BR,84.27,74,75,5.75,-7.6142,-72.8958,1658860386
saint anthony,US,79.66,64,100,9.22,45.0205,-93.218,1658860386
wanlaweyn,SO,74.5,80,18,17.54,2.6185,44.8938,1658860387
eureka,US,69.21,77,75,5.01,40.8021,-124.1637,1658859962
santa isabel do rio negro,BR,86.02,70,46,3.31,-0.4139,-65.0192,1658860387
anadyr,RU,48.7,76,75,6.71,64.75,177.4833,1658860388
krasnopavlivka,UA,63.45,90,77,7.36,49.1372,36.3272,1658860388
portland,US,91.06,49,0,7.0,45.5234,-122.6762,1658860162
verbilki,RU,66.52,89,34,2.53,56.5333,37.6,1658860388
huarmey,PE,68.22,71,83,13.24,-10.0681,-78.1522,1658860389
berlevag,NO,64.2,82,100,4.61,70.8578,29.0864,1658860389
ortona,IT,81.84,74,45,5.73,42.3496,14.4039,1658860390
dubbo,AU,37.53,87,1,9.22,-32.25,148.6167,1658860390
mazamari,PE,81.72,69,50,2.04,-11.3258,-74.5308,1658860391
dargaville,NZ,54.97,80,77,16.49,-35.9333,173.8833,1658860391
mahebourg,MU,69.26,94,40,9.22,-20.4081,57.7,1658860349
vostok,RU,60.4,97,0,2.46,46.4856,135.8833,1658860391
tromso,NO,58.37,82,75,6.91,69.6496,18.957,1658860392
mujiayingzi,CN,67.06,88,44,4.76,42.1167,118.7833,1658860392
xichang,CN,66.94,93,100,0.22,27.8964,102.2634,1658860392
samara,RU,67.51,77,13,4.32,53.0,50.0,1658860393
fairview,US,83.48,43,0,10.36,40.8126,-73.999,1658860393
hovd,MN,60.49,38,6,2.57,48.0056,91.6419,1658860394
balkanabat,TM,88.68,40,14,4.25,39.5108,54.3671,1658860394
maceio,BR,78.24,78,75,11.5,-9.6658,-35.7353,1658860394
san angelo,US,100.94,26,0,14.97,31.4638,-100.437,1658860202
bengkulu,ID,75.9,87,100,3.6,-3.8004,102.2655,1658860278
half moon bay,US,80.06,70,75,8.05,37.4636,-122.4286,1658860395
brae,GB,51.84,76,8,11.65,60.3964,-1.353,1658860395
ranong,TH,78.13,88,41,3.69,9.9658,98.6348,1658860396
makakilo city,US,79.12,63,20,10.36,21.3469,-158.0858,1658860333
comodoro rivadavia,AR,37.26,87,75,6.91,-45.8667,-67.5,1658860202
salta,AR,82.58,48,75,5.75,-24.7859,-65.4117,1658860232
ouadda,CF,69.03,98,100,1.34,8.0777,22.4007,1658860396
milkovo,RU,55.9,92,75,3.36,54.7167,158.6167,1658860397
abeche,TD,83.97,58,100,14.79,13.8292,20.8324,1658860397
high level,CA,69.91,73,75,6.91,58.5169,-117.136,1658860398
kabo,CF,73.22,89,100,3.29,7.6994,18.629,1658860398
guiuan,PH,84.36,73,100,10.87,11.0333,125.7247,1658860399
ashcroft,CA,85.48,32,0,3.49,50.7165,-121.2859,1658860399
puro,PH,80.49,82,74,4.09,12.4841,123.3827,1658860400
chapais,CA,60.58,88,99,12.08,49.7834,-74.8492,1658860400
banjar,ID,74.34,88,31,5.3,-8.19,114.9675,1658860401
agadez,NE,90.75,11,55,8.9,19.75,10.25,1658860401
la ciotat,FR,92.79,53,1,14.85,43.1748,5.6045,1658860401
san cristobal,VE,80.78,53,54,5.28,7.7669,-72.225,1658860402
eberndorf,AT,74.79,90,100,1.12,46.5914,14.6436,1658860402
mahibadhoo,MV,82.24,77,63,18.05,3.7833,72.9667,1658860402
buraydah,SA,102.65,15,30,6.85,26.326,43.975,1658860403
vanimo,PG,76.77,90,49,5.37,-2.6741,141.3028,1658860403
aykhal,RU,66.7,76,100,7.02,66.0,111.5,1658860404
alofi,NU,60.69,94,47,1.14,-19.0595,-169.9187,1658860404
vao,NC,67.44,62,0,6.73,-22.6667,167.4833,1658860404
kieta,PG,77.97,83,100,0.94,-6.2167,155.6333,1658860405
camocim,BR,83.14,61,88,13.4,-2.9022,-40.8411,1658860406
tura,IN,72.39,89,20,2.53,25.5198,90.2201,1658860406
nederland,US,95.23,66,75,5.75,29.9744,-93.9924,1658860122
hofn,IS,50.16,90,99,2.89,64.2539,-15.2082,1658860407
kachug,RU,50.4,96,100,3.51,53.9606,105.8817,1658860407
suriapet,IN,76.42,91,98,4.97,17.15,79.6167,1658860407
pisco,PE,64.45,77,100,8.05,-13.7,-76.2167,1658860246
ukiah,US,93.43,46,0,5.75,39.1502,-123.2078,1658860209
chateauroux,FR,73.4,46,0,9.22,46.8167,1.7,1658860408
lavrentiya,RU,38.79,89,100,14.56,65.5833,-171.0,1658860408
aksaray,TR,71.01,32,0,8.39,38.3726,34.0254,1658860409
atar,MR,103.15,23,40,7.11,20.5169,-13.0499,1658860409
praia da vitoria,PT,78.76,94,40,4.74,38.7333,-27.0667,1658860409
taoudenni,ML,108.28,8,100,11.72,22.6783,-3.9836,1658860410
gizo,SB,81.28,76,100,6.31,-8.103,156.8419,1658860276
mehamn,NO,62.55,82,75,5.75,71.0357,27.8492,1658860410
sabang,ID,81.05,76,100,7.29,5.8933,95.3214,1658860411
millet,CA,75.16,66,9,5.84,53.1001,-113.4687,1658860411
winnemucca,US,93.25,9,0,3.44,40.973,-117.7357,1658860411
abilene,US,99.28,26,0,17.27,32.4487,-99.7331,1658860265
havre-saint-pierre,CA,64.76,72,0,21.85,50.2334,-63.5986,1658860412
mana,GF,82.42,77,61,7.85,5.6592,-53.7767,1658860412
terre haute,US,70.32,91,100,5.75,39.4667,-87.4139,1658860413
saint-augustin,CA,69.35,60,94,17.31,51.226,-58.6502,1658860413
ahipara,NZ,56.08,74,94,16.73,-35.1667,173.1667,1658860414
dafeng,CN,78.46,84,5,3.11,23.4517,108.5881,1658860414
broome,US,76.46,57,40,10.36,42.2506,-75.833,1658860414
kapuskasing,CA,75.29,60,75,10.36,49.4169,-82.4331,1658860415
vondrozo,MG,59.9,95,80,1.32,-22.8167,47.2833,1658860401
clemencia,CO,85.37,78,100,7.38,10.5665,-75.325,1658860416
luebo,CD,78.93,31,73,2.46,-5.35,21.4167,1658860416
meulaboh,ID,74.25,94,100,6.96,4.1363,96.1285,1658860416
axim,GH,75.88,86,100,9.95,4.8699,-2.2405,1658860417
priverno,IT,83.93,83,0,3.06,41.4691,13.1856,1658860417
pevek,RU,33.87,83,85,5.66,69.7008,170.3133,1658860417
kysyl-syr,RU,63.77,85,9,5.21,63.8986,122.7617,1658860418
morondava,MG,72.27,68,0,17.09,-20.2833,44.2833,1658860419
cuiluan,CN,66.4,92,25,2.55,47.72,128.648,1658860420
rovaniemi,FI,63.81,94,100,16.11,66.5,25.7167,1658860266
genhe,CN,63.21,99,100,3.02,50.7833,121.5167,1658860420
praia,CV,84.74,65,40,6.91,14.9215,-23.5087,1658860207
oeiras,BR,93.49,21,99,9.31,-7.0253,-42.1311,1658860291
cacu,BR,89.01,18,0,7.43,-18.5567,-51.1308,1658860421
mogadishu,SO,75.83,84,33,20.87,2.0371,45.3438,1658860421
sobolevo,RU,63.39,88,2,3.62,54.4299,31.8996,1658860422
vanavara,RU,58.01,98,100,9.44,60.34,102.2797,1658860422
malanje,AO,70.86,20,66,4.05,-9.5402,16.341,1658860423
andros town,BS,80.56,76,100,19.01,24.7,-77.7667,1658860423
reconquista,AR,81.77,49,93,8.81,-29.15,-59.65,1658860423
maldonado,UY,70.23,82,96,8.59,-34.6667,-54.9167,1658860320
boz,FR,76.17,50,4,6.13,46.4071,4.9109,1658860424
bathsheba,BB,86.61,80,40,20.71,13.2167,-59.5167,1658860424
skjervoy,NO,57.2,98,100,3.8,70.0311,20.9714,1658860425
bull savanna,JM,84.02,64,8,19.42,17.8868,-77.5902,1658860425
cap-aux-meules,CA,71.65,60,20,17.27,47.3821,-61.8597,1658860426
ossora,RU,58.01,80,100,0.74,59.2353,163.0719,1658860426
la paz,BO,62.58,31,20,8.05,-16.5,-68.15,1658860426
shingu,JP,77.61,94,100,2.77,33.7333,135.9833,1658860427
kabale,UG,63.86,58,100,3.02,-1.2486,29.9899,1658860427
luwuk,ID,76.21,93,100,4.7,-0.9516,122.7875,1658860427
dukstas,LT,64.42,84,100,5.06,55.5333,26.3333,1658860428
dodoma,TZ,67.78,57,92,12.01,-6.1722,35.7395,1658860428
alice springs,AU,33.35,80,0,0.0,-23.7,133.8833,1658860429
ust-katav,RU,59.92,91,100,2.73,54.9369,58.1656,1658860429
sistranda,NO,53.56,83,100,22.82,63.7256,8.834,1658860429
isangel,VU,71.71,88,94,6.91,-19.55,169.2667,1658860430
manaira,BR,81.46,38,100,12.33,-7.7061,-38.1544,1658860430
vila franca do campo,PT,75.61,81,52,6.04,37.7167,-25.4333,1658860430
ko samui,TH,83.98,72,99,7.34,9.5357,99.9357,1658860431
lorengau,PG,80.74,81,100,7.83,-2.0226,147.2712,1658860431
jumla,NP,62.01,98,99,1.92,29.2747,82.1838,1658860431
lagos,NG,75.27,93,85,6.62,6.5833,3.75,1658860290
alta floresta,BR,94.82,28,40,3.44,-9.8756,-56.0861,1658860432
faanui,PF,77.49,74,44,11.45,-16.4833,-151.75,1658860432
mendi,PG,54.88,98,100,1.32,-6.1761,143.6513,1658860433
arlit,NE,103.62,10,53,10.58,18.7369,7.3853,1658860433
garissa,KE,75.02,64,80,22.26,-0.4536,39.6401,1658860433
sambava,MG,69.76,82,17,11.3,-14.2667,50.1667,1658860434
zhangye,CN,69.12,43,2,9.17,38.9342,100.4517,1658860319
manicore,BR,94.95,38,0,5.75,-5.8092,-61.3003,1658860434
kruisfontein,ZA,57.51,55,11,6.73,-34.0033,24.7314,1658860434
karratha,AU,68.13,29,7,7.31,-20.7377,116.8463,1658860435
schattdorf,CH,74.41,92,98,1.63,46.8655,8.6547,1658860435
sao geraldo do araguaia,BR,97.61,22,59,5.39,-6.4006,-48.555,1658860435
narsaq,GL,57.42,80,60,5.61,60.9167,-46.05,1658860436
ponta delgada,PT,75.92,88,75,11.5,37.7333,-25.6667,1658860436
mount gambier,AU,48.11,93,75,6.91,-37.8333,140.7667,1658860437
raduzhnyy,RU,60.53,99,68,5.75,62.0961,77.475,1658860437
tuatapere,NZ,44.4,95,100,9.84,-46.1333,167.6833,1658860438
yulara,AU,43.12,58,0,8.63,-25.2406,130.9889,1658860438
vinukonda,IN,79.99,80,12,7.0,16.05,79.75,1658860438
krasnoturansk,RU,51.13,92,6,1.66,54.3186,91.5639,1658860439
hasaki,JP,77.4,91,100,16.37,35.7333,140.8333,1658860439
port lincoln,AU,51.1,81,100,10.98,-34.7333,135.8667,1658860440
broken hill,AU,42.31,85,3,6.44,-31.95,141.4333,1658860347
jalu,LY,92.08,18,6,10.42,29.0331,21.5482,1658860347
wasco,US,90.14,28,0,3.44,35.5941,-119.341,1658860440
luzhou,CN,82.0,87,8,1.77,28.8724,105.4405,1658860441
stanovoye,RU,69.39,70,7,5.19,52.7638,38.3582,1658860441
carndonagh,IE,58.62,79,55,5.26,55.25,-7.2667,1658860441
uribia,CO,94.28,38,13,20.02,11.7139,-72.266,1658860442
kishanganj,IN,80.62,80,76,4.79,26.1167,87.9333,1658860442
samalkot,IN,79.56,86,99,2.53,17.05,82.1833,1658860397
itaituba,BR,96.96,44,40,5.75,-4.2761,-55.9836,1658860443
nemuro,JP,62.85,96,100,4.09,43.3236,145.575,1658860443
kodyma,UA,69.58,38,35,4.23,48.0988,29.1246,1658860444
nyuksenitsa,RU,59.52,82,100,4.59,60.4128,44.2397,1658860444
esperance,AU,57.11,81,100,8.43,-33.8667,121.9,1658860445
sarangani,PH,81.84,74,100,3.02,5.4033,125.4636,1658860445
villa rica,US,89.82,66,100,6.6,33.7321,-84.9191,1658860445
quatre cocos,MU,69.1,81,5,11.88,-20.2078,57.7625,1658860446
muhos,FI,65.98,95,100,12.01,64.808,25.9931,1658860446
tabuk,PH,75.15,92,99,1.05,17.4189,121.4443,1658860446
twentynine palms,US,96.13,35,1,4.0,34.1356,-116.0542,1658860447
gamba,GA,70.86,86,56,7.02,-2.65,10.0,1658860447
bambous virieux,MU,69.22,94,40,9.22,-20.3428,57.7575,1658860448
gobabis,NA,64.42,26,75,9.64,-22.45,18.9667,1658860448
altamira,BR,93.92,36,99,4.47,-3.2033,-52.2064,1658860449
tandil,AR,59.68,94,100,5.59,-37.3217,-59.1332,1658860449
pindiga,NG,75.79,76,98,8.61,9.9833,10.9333,1658860449
